,species,color,x,y,step
0,lion,orange,118,300,0
1,wildcat,black,432,433,0
2,wildcat,black,370,227,0
3,wildcat,black,113,324,0
4,wildcat,black,260,58,0
5,wildcat,black,235,233,0
6,wildcat,black,301,105,0
7,wildcat,black,18,262,0
8,wildcat,black,131,312,0
9,wildcat,black,490,428,0
10,wildcat,black,449,277,0
11,rabbit,gray,339,188,0
12,rabbit,gray,231,240,0
13,rabbit,gray,184,265,0
14,rabbit,gray,93,65,0
15,rabbit,gray,30,321,0
16,rabbit,gray,203,440,0
17,rabbit,gray,211,58,0
18,rabbit,gray,79,452,0
19,rabbit,gray,180,49,0
20,rabbit,gray,458,29,0
21,rabbit,gray,99,286,0
22,rabbit,gray,493,323,0
23,rabbit,gray,491,159,0
24,rabbit,gray,169,332,0
25,rabbit,gray,14,87,0
26,rabbit,gray,321,208,0
27,rabbit,gray,495,18,0
28,rabbit,gray,308,349,0
29,rabbit,gray,97,389,0
30,rabbit,gray,308,211,0
31,rabbit,gray,119,101,0
32,rabbit,gray,348,467,0
33,rabbit,gray,84,290,0
34,rabbit,gray,230,461,0
35,rabbit,gray,463,494,0
36,rabbit,gray,271,345,0
37,rabbit,gray,480,307,0
38,rabbit,gray,36,491,0
39,rabbit,gray,444,453,0
40,rabbit,gray,212,394,0
41,rabbit,gray,296,160,0
42,rabbit,gray,256,299,0
43,rabbit,gray,398,251,0
44,rabbit,gray,355,324,0
45,rabbit,gray,21,40,0
46,rabbit,gray,260,363,0
47,rabbit,gray,209,106,0
48,rabbit,gray,488,408,0
49,rabbit,gray,496,110,0
50,rabbit,gray,339,498,0
51,rabbit,gray,285,361,0
52,rabbit,gray,198,420,0
53,rabbit,gray,225,174,0
54,rabbit,gray,447,396,0
55,rabbit,gray,368,307,0
56,rabbit,gray,415,430,0
57,rabbit,gray,394,359,0
58,rabbit,gray,103,270,0
59,rabbit,gray,27,54,0
60,rabbit,gray,408,211,0
61,rabbit,gray,170,80,0
62,rabbit,gray,496,266,0
63,rabbit,gray,391,160,0
64,rabbit,gray,395,60,0
65,rabbit,gray,151,489,0
66,rabbit,gray,442,234,0
67,rabbit,gray,108,52,0
68,rabbit,gray,131,100,0
69,rabbit,gray,221,366,0
70,rabbit,gray,481,376,0
71,rabbit,gray,342,73,0
72,rabbit,gray,430,431,0
73,rabbit,gray,210,279,0
74,rabbit,gray,405,422,0
75,rabbit,gray,188,75,0
76,rabbit,gray,142,144,0
77,rabbit,gray,458,54,0
78,rabbit,gray,101,150,0
79,rabbit,gray,72,430,0
80,rabbit,gray,475,259,0
81,rabbit,gray,346,146,0
82,rabbit,gray,119,48,0
83,rabbit,gray,312,172,0
84,rabbit,gray,21,345,0
85,rabbit,gray,237,90,0
86,rabbit,gray,169,117,0
87,rabbit,gray,325,376,0
88,rabbit,gray,246,489,0
89,rabbit,gray,194,404,0
90,rabbit,gray,61,277,0
91,rabbit,gray,397,361,0
92,rabbit,gray,182,429,0
93,rabbit,gray,417,118,0
94,rabbit,gray,280,343,0
95,rabbit,gray,246,277,0
96,rabbit,gray,17,444,0
97,rabbit,gray,326,76,0
98,rabbit,gray,170,287,0
99,rabbit,gray,84,217,0
100,rabbit,gray,349,380,0
101,rabbit,gray,264,301,0
102,rabbit,gray,238,98,0
103,rabbit,gray,333,260,0
104,rabbit,gray,30,197,0
105,rabbit,gray,372,407,0
106,rabbit,gray,229,478,0
107,rabbit,gray,395,250,0
108,rabbit,gray,425,53,0
109,rabbit,gray,51,461,0
110,rabbit,gray,289,124,0
0,rabbit,gray,260,263,1
1,rabbit,gray,204,432,1
2,rabbit,gray,386,358,1
3,rabbit,gray,457,10,1
4,rabbit,gray,272,283,1
5,rabbit,gray,458,310,1
6,rabbit,gray,122,67,1
7,rabbit,gray,92,373,1
8,rabbit,gray,201,412,1
9,rabbit,gray,245,359,1
10,rabbit,gray,27,45,1
11,rabbit,gray,458,265,1
12,rabbit,gray,84,443,1
13,rabbit,gray,403,357,1
14,wildcat,black,298,107,1
15,wildcat,black,240,234,1
16,rabbit,gray,429,430,1
17,wildcat,black,437,429,1
18,rabbit,gray,347,473,1
19,rabbit,gray,223,94,1
20,rabbit,gray,103,148,1
21,rabbit,gray,396,237,1
22,rabbit,gray,312,172,1
23,rabbit,gray,196,259,1
24,rabbit,gray,76,277,1
25,rabbit,gray,189,413,1
26,rabbit,gray,31,317,1
27,rabbit,gray,140,481,1
28,rabbit,gray,72,447,1
29,rabbit,gray,482,375,1
30,rabbit,gray,252,345,1
31,rabbit,gray,407,248,1
32,rabbit,gray,421,416,1
33,rabbit,gray,43,203,1
34,rabbit,gray,173,293,1
35,rabbit,gray,483,153,1
36,rabbit,gray,36,491,1
37,rabbit,gray,397,60,1
38,rabbit,gray,443,451,1
39,rabbit,gray,483,311,1
40,rabbit,gray,90,195,1
41,rabbit,gray,332,264,1
42,rabbit,gray,77,65,1
43,rabbit,gray,231,492,1
44,rabbit,gray,229,478,1
45,rabbit,gray,194,67,1
46,rabbit,gray,51,461,1
47,rabbit,gray,315,78,1
48,rabbit,gray,111,256,1
49,rabbit,gray,26,93,1
50,rabbit,gray,497,265,1
51,rabbit,gray,178,84,1
52,rabbit,gray,329,71,1
53,rabbit,gray,341,499,1
54,rabbit,gray,315,331,1
55,rabbit,gray,457,491,1
56,rabbit,gray,300,226,1
57,wildcat,black,19,262,1
58,rabbit,gray,108,49,1
59,rabbit,gray,242,96,1
60,rabbit,gray,209,80,1
61,rabbit,gray,221,49,1
62,rabbit,gray,335,154,1
63,rabbit,gray,303,223,1
64,rabbit,gray,438,227,1
65,rabbit,gray,169,422,1
66,rabbit,gray,355,287,1
67,rabbit,gray,215,285,1
68,wildcat,black,260,68,1
69,rabbit,gray,267,346,1
70,rabbit,gray,85,289,1
71,rabbit,gray,405,421,1
72,rabbit,gray,230,175,1
73,rabbit,gray,292,128,1
74,wildcat,black,499,439,1
75,rabbit,gray,322,384,1
76,wildcat,black,119,332,1
77,rabbit,gray,420,211,1
78,lion,orange,116,301,1
79,rabbit,gray,96,291,1
80,rabbit,gray,230,456,1
81,rabbit,gray,197,72,1
82,wildcat,black,460,281,1
83,rabbit,gray,122,97,1
84,rabbit,gray,424,55,1
85,rabbit,gray,328,180,1
86,wildcat,black,367,228,1
87,rabbit,gray,31,345,1
88,rabbit,gray,369,397,1
89,rabbit,gray,487,408,1
90,rabbit,gray,171,343,1
91,rabbit,gray,145,145,1
92,rabbit,gray,166,124,1
93,rabbit,gray,265,301,1
94,wildcat,black,122,316,1
95,rabbit,gray,127,99,1
96,rabbit,gray,487,28,1
97,rabbit,gray,212,394,1
98,rabbit,gray,21,442,1
99,rabbit,gray,311,158,1
100,rabbit,gray,230,241,1
101,rabbit,gray,367,310,1
102,rabbit,gray,485,111,1
103,rabbit,gray,352,375,1
104,rabbit,gray,45,51,1
